City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Meiganga,CM,2022-06-22 23:37:17,6.5167,14.3,63.77,98,43,1.61
100,Adrar,MR,2022-06-22 23:37:17,20.5022,-10.0711,90.07,29,1,11.92
101,Qasigiannguit,GL,2022-06-22 23:37:18,68.8193,-51.1922,37.65,97,99,2.04
102,Las Lajas,AR,2022-06-22 23:37:18,-38.5232,-70.3674,33.1,80,100,1.28
103,Qaanaaq,GL,2022-06-22 23:37:19,77.484,-69.3632,39.43,62,11,2.89
104,Birjand,IR,2022-06-22 23:37:19,32.8663,59.2211,75.67,16,0,18.41
105,Cabedelo,BR,2022-06-22 23:37:20,-6.9811,-34.8339,70.47,85,100,5.5
106,Hualmay,PE,2022-06-22 23:37:20,-11.0964,-77.6139,62.51,79,5,11.65
107,Esperance,AU,2022-06-22 23:37:21,-33.8667,121.9,57.74,84,52,12.28
108,Caravelas,BR,2022-06-22 23:37:21,-17.7125,-39.2481,70.68,88,2,4.72
109,Anloga,GH,2022-06-22 23:37:21,5.7947,0.8973,76.64,86,99,10.2
110,Korla,CN,2022-06-22 23:37:22,41.7597,86.1469,83.43,17,15,7.94
111,Hilo,US,2022-06-22 23:36:57,19.7297,-155.09,82.27,85,100,4.61
112,Souillac,MU,2022-06-22 23:37:23,-20.5167,57.5167,70.18,78,20,10.36
113,Pochinki,RU,2022-06-22 23:37:23,54.6988,44.8668,55.42,83,99,8.21
114,Torbay,CA,2022-06-22 23:37:24,47.6666,-52.7314,63.37,67,40,12.66
115,Tual,ID,2022-06-22 23:37:24,-5.6667,132.75,81.57,80,94,19.62
116,Mazatlan,MX,2022-06-22 23:32:33,23.2167,-106.4167,91.36,52,75,12.66
117,Kalmunai,LK,2022-06-22 23:37:25,7.4167,81.8167,79.56,76,100,5.06
118,Isangel,VU,2022-06-22 23:34:09,-19.55,169.2667,75.31,78,75,2.3
119,La Ronge,CA,2022-06-22 23:37:25,55.1001,-105.2842,66.45,59,75,4.61
120,Tasiilaq,GL,2022-06-22 23:37:26,65.6145,-37.6368,39.36,80,7,6.38
121,Havelock,US,2022-06-22 23:37:26,34.8791,-76.9013,84.18,84,95,4.0
122,Subtanjalla,PE,2022-06-22 23:37:27,-14.0189,-75.7581,60.75,72,24,3.44
123,Ontario,US,2022-06-22 23:37:03,34.0633,-117.6509,98.1,34,75,11.5
124,Kruisfontein,ZA,2022-06-22 23:37:27,-34.0033,24.7314,58.89,60,99,5.1
125,Denpasar,ID,2022-06-22 23:37:28,-8.65,115.2167,80.26,89,75,14.97
126,Maryborough,AU,2022-06-22 23:37:28,-25.5333,152.7,62.11,58,0,3.76
127,Northam,GB,2022-06-22 23:37:29,51.0333,-4.2167,62.38,87,0,1.45
128,Bowen,AU,2022-06-22 23:37:29,-20.0167,148.2333,69.46,66,32,15.75
129,Saldanha,ZA,2022-06-22 23:37:30,-33.0117,17.9442,59.05,91,62,6.49
130,New Norfolk,AU,2022-06-22 23:37:30,-42.7826,147.0587,55.89,83,100,1.01
131,Praya,CV,2022-06-22 23:34:06,14.9215,-23.5087,77.54,88,75,11.5
132,Kloulklubed,PW,2022-06-22 23:33:49,7.0419,134.2556,81.1,71,98,6.46
133,Filingue,NE,2022-06-22 23:37:31,14.3521,3.3168,87.33,43,93,7.63
134,Vila Franca Do Campo,PT,2022-06-22 23:37:31,37.7167,-25.4333,63.19,83,74,10.6
135,Port-Cartier,CA,2022-06-22 23:37:32,50.0334,-66.8654,55.74,88,98,4.79
136,Husavik,IS,2022-06-22 23:37:32,66.0449,-17.3389,38.71,87,100,15.05
137,Laguna,US,2022-06-22 23:37:33,38.421,-121.4238,102.29,23,0,16.11
138,Beringovskiy,RU,2022-06-22 23:37:33,63.05,179.3167,47.43,83,100,12.82
139,Kang,BW,2022-06-22 23:37:34,-23.6752,22.7876,54.12,32,77,6.62
140,Zhanakorgan,KZ,2022-06-22 23:37:34,43.9098,67.2495,77.18,54,83,16.49
141,Zhangjiakou,CN,2022-06-22 23:37:34,40.81,114.8794,69.62,56,0,2.86
142,San Policarpo,PH,2022-06-22 23:37:35,12.1791,125.5072,81.54,79,100,5.95
143,Pachino,IT,2022-06-22 23:37:35,36.7186,15.0907,77.5,56,10,7.43
144,Manga,BF,2022-06-22 23:38:36,11.6636,-1.0731,77.99,74,67,7.05
145,Iqaluit,CA,2022-06-22 23:38:36,63.7506,-68.5145,42.53,65,75,9.22
146,Georgetown,MY,2022-06-22 23:37:05,5.4112,100.3354,77.9,97,40,3.44
147,Batagay-Alyta,RU,2022-06-22 23:38:37,67.8006,130.4114,49.06,67,96,3.8
148,Torres,BR,2022-06-22 23:35:57,-29.3353,-49.7269,71.83,98,98,2.55
149,Catamarca,AR,2022-06-22 23:38:38,-28.4696,-65.7852,47.77,63,50,1.99
150,Yar-Sale,RU,2022-06-22 23:38:38,66.8333,70.8333,67.53,66,8,4.59
151,Aktash,RU,2022-06-22 23:38:39,50.3,87.7333,55.71,58,5,2.66
152,Tacuati,PY,2022-06-22 23:38:39,-23.45,-56.5833,73.26,74,65,6.13
153,Hermanus,ZA,2022-06-22 23:38:40,-34.4187,19.2345,59.81,87,97,10.42
154,Manzanillo,CU,2022-06-22 23:38:40,20.3433,-77.1167,78.08,79,86,6.35
155,Muros,ES,2022-06-22 23:38:41,42.7762,-9.0603,61.09,88,95,4.16
156,Onega,RU,2022-06-22 23:38:41,63.9061,38.1404,45.91,86,59,3.8
157,Cotonou,BJ,2022-06-22 23:37:57,6.3654,2.4183,75.34,89,100,9.86
158,Fare,PF,2022-06-22 23:38:42,-16.7,-151.0167,80.8,63,10,8.97
159,Nemuro,JP,2022-06-22 23:38:42,43.3236,145.575,50.47,91,100,7.7
160,Cidreira,BR,2022-06-22 23:38:43,-30.1811,-50.2056,61.92,97,99,5.61
161,Nuuk,GL,2022-06-22 23:35:41,64.1835,-51.7216,38.01,93,75,5.75
162,Bredasdorp,ZA,2022-06-22 23:38:43,-34.5322,20.0403,59.58,79,99,6.53
163,Zverinogolovskoye,RU,2022-06-22 23:38:44,54.4586,64.8542,56.53,86,7,7.25
164,Bac Lieu,VN,2022-06-22 23:38:44,9.285,105.7244,82.04,79,100,3.11
165,Karratha,AU,2022-06-22 23:38:45,-20.7377,116.8463,70.03,36,0,11.18
166,Urengoy,RU,2022-06-22 23:38:45,65.9667,78.3667,71.01,60,15,6.04
167,Beloha,MG,2022-06-22 23:36:49,-25.1667,45.05,60.87,60,46,10.49
168,Chokwe,MZ,2022-06-22 23:38:46,-24.5333,32.9833,62.33,73,48,2.68
169,Antofagasta,CL,2022-06-22 23:36:03,-23.65,-70.4,56.48,67,80,1.61
170,Osorno,CL,2022-06-22 23:38:47,-40.5667,-73.15,34.11,93,0,0.0
171,Saint-Joseph,RE,2022-06-22 23:38:47,-21.3667,55.6167,61.18,84,22,12.17
172,Manaure,CO,2022-06-22 23:38:48,11.7751,-72.4445,84.58,67,59,15.08
173,Tuktoyaktuk,CA,2022-06-22 23:38:48,69.4541,-133.0374,55.4,62,100,8.05
174,Yellowknife,CA,2022-06-22 23:34:16,62.456,-114.3525,68.56,30,20,10.36
175,Japura,ID,2022-06-22 23:38:49,-0.3167,102.35,73.69,98,92,0.83
176,Gamba,GA,2022-06-22 23:38:49,-2.65,10.0,68.4,91,11,5.14
