City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Basco,PH,85.53,broken clouds,20.4487,121.9702,Nathaniel's Lodge
70,Karratha,AU,69.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
71,Vaini,TO,69.96,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Upata,VE,85.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
74,Bratsk,RU,68.49,broken clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
75,El Vigia,VE,79.99,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
76,Bhadrachalam,IN,80.17,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
77,Pisco,PE,64.45,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
78,Nisia Floresta,BR,88.18,light rain,-6.0911,-35.2086,Rancho Crepusculo
79,Sarankhola,BD,81.3,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
80,Bara,NG,86.97,broken clouds,10.3744,10.7288,
81,Akot,IN,81.36,overcast clouds,21.0964,77.0586,Shri PRASAD
82,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Chauk,MM,87.57,broken clouds,20.8833,94.8167,Bo Khin Guest House
87,Ucluelet,CA,71.91,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
88,Dongsheng,CN,63.01,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
89,Kapaa,US,71.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
90,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
92,Guerrero Negro,MX,82.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
93,Abha,SA,80.85,few clouds,18.2164,42.5053,Abha Hotel
94,Poum,NC,74.61,broken clouds,-20.2333,164.0167,
95,Kulhudhuffushi,MV,82.71,overcast clouds,6.6221,73.07,Haajy Guest House 1
96,La Ronge,CA,68.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
